,schedule time,actual time,stand,trailer,direction
0,2023-06-01 01:05:00,2023-06-01 01:03:00,R19,2,1
1,2023-06-01 01:10:00,2023-06-01 00:51:00,R21,3,1
2,2023-06-01 01:15:00,2023-06-01 01:05:00,R13,2,1
3,2023-06-01 01:25:00,2023-06-01 01:38:00,R16,3,1
4,2023-06-01 02:00:00,2023-06-01 01:50:00,W50,2,1
5,2023-06-01 04:40:00,2023-06-01 04:38:00,W42,2,1
6,2023-06-01 05:00:00,2023-06-01 04:34:00,N26,2,1
7,2023-06-01 05:00:00,2023-06-01 05:03:00,S23,3,1
8,2023-06-01 05:10:00,2023-06-01 05:06:00,N28,3,1
9,2023-06-01 05:35:00,2023-06-01 05:38:00,N30,3,1
10,2023-06-01 05:40:00,2023-06-01 05:48:00,S47,3,1
11,2023-06-01 05:40:00,2023-06-01 05:18:00,N6,2,1
12,2023-06-01 05:50:00,2023-06-01 05:49:00,S29,2,1
13,2023-06-01 06:00:00,2023-06-01 05:58:00,S4,3,1
14,2023-06-01 06:05:00,2023-06-01 06:02:00,N60,3,1
15,2023-06-01 06:15:00,2023-06-01 07:39:00,S33,3,1
16,2023-06-01 06:45:00,2023-06-01 07:22:00,N62,2,1
17,2023-06-01 06:50:00,2023-06-01 07:24:00,S35,3,1
18,2023-06-01 06:55:00,2023-06-01 07:52:00,W67,2,1
19,2023-06-01 06:55:00,2023-06-01 08:37:00,W63,2,1
20,2023-06-01 07:15:00,2023-06-01 07:35:00,N66,3,1
21,2023-06-01 07:45:00,2023-06-01 07:46:00,W40,2,1
22,2023-06-01 07:55:00,2023-06-01 08:10:00,N34,3,1
23,2023-06-01 08:10:00,2023-06-01 08:12:00,N24,2,1
24,2023-06-01 08:30:00,2023-06-01 08:35:00,W42,2,1
25,2023-06-01 08:50:00,2023-06-01 09:05:00,S29,2,1
26,2023-06-01 08:55:00,2023-06-01 08:55:00,N68,2,1
27,2023-06-01 09:10:00,2023-06-01 08:57:00,W50,3,1
28,2023-06-01 09:15:00,2023-06-01 09:11:00,S35,2,1
29,2023-06-01 09:45:00,2023-06-01 09:47:00,W44,3,1
30,2023-06-01 09:45:00,2023-06-01 10:00:00,N10,3,1
31,2023-06-01 09:50:00,2023-06-01 10:03:00,S3,3,1
32,2023-06-01 09:55:00,2023-06-01 09:51:00,S27,3,1
33,2023-06-01 10:05:00,2023-06-01 10:16:00,S25,2,1
34,2023-06-01 10:05:00,2023-06-01 09:53:00,N36,3,1
35,2023-06-01 10:10:00,2023-06-01 10:24:00,N7,3,1
36,2023-06-01 10:10:00,2023-06-01 10:25:00,N9,3,1
37,2023-06-01 10:15:00,2023-06-01 10:08:00,R18,2,1
38,2023-06-01 10:15:00,2023-06-01 09:49:00,R15,2,1
39,2023-06-01 10:25:00,2023-06-01 10:59:00,W69,2,1
40,2023-06-01 10:30:00,2023-06-01 10:16:00,W63,2,1
41,2023-06-01 10:30:00,2023-06-01 10:18:00,W46,3,1
42,2023-06-01 10:55:00,2023-06-01 10:48:00,N24,3,1
43,2023-06-01 11:00:00,2023-06-01 10:36:00,S43,3,1
44,2023-06-01 11:05:00,2023-06-01 11:20:00,S2,3,1
45,2023-06-01 11:10:00,2023-06-01 11:16:00,N8,2,1
46,2023-06-01 11:15:00,2023-06-01 11:07:00,N68,3,1
47,2023-06-01 11:20:00,2023-06-01 11:34:00,N5,3,1
48,2023-06-01 11:20:00,2023-06-01 11:10:00,S41,3,1
49,2023-06-01 11:30:00,2023-06-01 11:18:00,N10,3,1
50,2023-06-01 11:30:00,2023-06-01 11:44:00,W48,3,1
51,2023-06-01 11:30:00,2023-06-01 11:23:00,R14,2,1
52,2023-06-01 11:30:00,2023-06-01 10:53:00,S47,2,1
53,2023-06-01 11:35:00,2023-06-01 11:12:00,S35,2,1
54,2023-06-01 11:40:00,2023-06-01 11:35:00,R21,2,1
55,2023-06-01 11:45:00,2023-06-01 12:21:00,W40,2,1
56,2023-06-01 11:50:00,2023-06-01 11:28:00,N66,3,1
57,2023-06-01 11:50:00,2023-06-01 11:49:00,N6,2,1
58,2023-06-01 11:55:00,2023-06-01 12:12:00,N36,3,1
59,2023-06-01 12:10:00,2023-06-01 12:08:00,S31,3,1
60,2023-06-01 12:10:00,2023-06-01 12:04:00,S29,3,1
