,schedule time,actual time,stand,trailer,direction
0,2023-06-01 00:05:00,2023-06-01 00:04:00,S4,2,0
1,2023-06-01 00:15:00,2023-06-01 00:28:00,S43,2,0
2,2023-06-01 00:20:00,2023-06-01 00:35:00,W63,2,0
3,2023-06-01 00:25:00,2023-06-01 00:18:00,S35,3,0
4,2023-06-01 00:25:00,2023-06-01 01:08:00,N64,3,0
5,2023-06-01 00:30:00,2023-06-01 00:30:00,N24,2,0
6,2023-06-01 00:45:00,2023-06-01 00:55:00,S27,2,0
7,2023-06-01 00:45:00,2023-06-01 00:49:00,N30,3,0
8,2023-06-01 00:50:00,2023-06-01 01:08:00,N6,3,0
9,2023-06-01 01:05:00,2023-06-01 00:55:00,R16,2,0
10,2023-06-01 01:20:00,2023-06-01 01:17:00,S47,2,0
11,2023-06-01 01:50:00,2023-06-01 01:55:00,S29,3,0
12,2023-06-01 01:55:00,2023-06-01 01:45:00,S31,3,0
13,2023-06-01 02:00:00,2023-06-01 02:18:00,N60,2,0
14,2023-06-01 02:20:00,2023-06-01 02:39:00,N66,3,0
15,2023-06-01 07:05:00,2023-06-01 08:43:00,N68,2,0
16,2023-06-01 07:15:00,2023-06-01 08:19:00,W42,2,0
17,2023-06-01 07:20:00,2023-06-01 08:14:00,N5,2,0
18,2023-06-01 07:20:00,2023-06-01 07:58:00,R14,3,0
19,2023-06-01 07:35:00,2023-06-01 07:55:00,N34,3,0
20,2023-06-01 07:55:00,2023-06-01 08:29:00,N6,3,0
21,2023-06-01 07:55:00,2023-06-01 08:33:00,S2,3,0
22,2023-06-01 08:00:00,2023-06-01 08:19:00,R13,3,0
23,2023-06-01 08:00:00,2023-06-01 08:50:00,N64,3,0
24,2023-06-01 08:00:00,2023-06-01 08:57:00,S3,3,0
25,2023-06-01 08:00:00,2023-06-01 08:04:00,N24,3,0
26,2023-06-01 08:10:00,2023-06-01 08:44:00,S1,3,0
27,2023-06-01 08:10:00,2023-06-01 08:29:00,W65,2,0
28,2023-06-01 08:10:00,2023-06-01 08:54:00,S35,3,0
29,2023-06-01 08:10:00,2023-06-01 08:50:00,S29,2,0
30,2023-06-01 08:15:00,2023-06-01 08:27:00,R18,2,0
31,2023-06-01 08:15:00,2023-06-01 08:17:00,W50,3,0
32,2023-06-01 08:20:00,2023-06-01 09:03:00,N60,3,0
33,2023-06-01 08:25:00,2023-06-01 09:58:00,W63,3,0
34,2023-06-01 08:30:00,2023-06-01 09:15:00,S45,2,0
