,schedule time,actual time,stand,trailer,direction
0,2023-06-02 00:20:00,2023-06-01 23:52:00,W65,2,1
1,2023-06-02 01:05:00,2023-06-02 00:55:00,R18,2,1
2,2023-06-02 01:25:00,2023-06-02 01:41:00,R16,2,1
3,2023-06-02 03:10:00,2023-06-02 02:50:00,S33,2,1
4,2023-06-02 04:40:00,2023-06-02 04:16:00,S27,2,1
5,2023-06-02 05:00:00,2023-06-02 05:24:00,S1,3,1
6,2023-06-02 05:00:00,2023-06-02 05:26:00,N7,3,1
7,2023-06-02 05:10:00,2023-06-02 05:03:00,N26,3,1
8,2023-06-02 05:15:00,2023-06-02 06:10:00,S23,2,1
9,2023-06-02 05:35:00,2023-06-02 07:01:00,N24,2,1
10,2023-06-02 05:40:00,2023-06-02 05:43:00,S45,3,1
11,2023-06-02 05:40:00,2023-06-02 05:13:00,W69,3,1
12,2023-06-02 05:50:00,2023-06-02 05:46:00,W67,2,1
13,2023-06-02 06:05:00,2023-06-02 06:18:00,N30,3,1
14,2023-06-02 06:15:00,2023-06-02 06:43:00,S41,3,1
15,2023-06-02 06:45:00,2023-06-02 07:08:00,W44,2,1
16,2023-06-02 06:50:00,2023-06-02 06:36:00,N32,2,1
17,2023-06-02 06:55:00,2023-06-02 07:40:00,S25,2,1
18,2023-06-02 06:55:00,2023-06-02 07:17:00,N66,2,1
19,2023-06-02 07:15:00,2023-06-02 07:16:00,N34,3,1
20,2023-06-02 07:20:00,2023-06-02 08:10:00,S4,2,1
21,2023-06-02 07:30:00,2023-06-02 08:08:00,N5,2,1
22,2023-06-02 07:40:00,2023-06-02 07:54:00,N64,3,1
23,2023-06-02 07:45:00,2023-06-02 07:44:00,R15,3,1
24,2023-06-02 07:55:00,2023-06-02 08:07:00,S47,3,1
25,2023-06-02 08:05:00,2023-06-02 07:58:00,W65,2,1
26,2023-06-02 08:10:00,2023-06-02 09:12:00,S45,3,1
27,2023-06-02 08:15:00,2023-06-02 08:43:00,R17,3,1
28,2023-06-02 08:30:00,2023-06-02 09:04:00,S43,3,1
29,2023-06-02 08:50:00,2023-06-02 08:59:00,S31,2,1
30,2023-06-02 08:55:00,2023-06-02 08:55:00,N10,3,1
31,2023-06-02 09:10:00,2023-06-02 09:18:00,N34,2,1
32,2023-06-02 09:10:00,2023-06-02 09:11:00,S2,2,1
33,2023-06-02 09:15:00,2023-06-02 09:08:00,S33,2,1
34,2023-06-02 09:45:00,2023-06-02 10:46:00,W40,3,1
35,2023-06-02 09:45:00,2023-06-02 09:44:00,S29,2,1
36,2023-06-02 09:55:00,2023-06-02 09:30:00,W63,3,1
37,2023-06-02 10:05:00,2023-06-02 09:51:00,N28,3,1
38,2023-06-02 10:05:00,2023-06-02 09:49:00,N9,3,1
39,2023-06-02 10:10:00,2023-06-02 10:02:00,N60,3,1
40,2023-06-02 10:10:00,2023-06-02 09:57:00,S3,3,1
41,2023-06-02 10:10:00,2023-06-02 10:10:00,N10,2,1
42,2023-06-02 10:15:00,2023-06-02 10:08:00,S11,2,1
43,2023-06-02 10:15:00,2023-06-02 10:03:00,R15,2,1
44,2023-06-02 10:30:00,2023-06-02 11:23:00,N28,3,1
45,2023-06-02 10:30:00,2023-06-02 10:34:00,W69,2,1
46,2023-06-02 10:30:00,2023-06-02 10:09:00,N30,2,1
47,2023-06-02 10:40:00,2023-06-02 10:42:00,W65,2,1
48,2023-06-02 10:50:00,2023-06-02 10:29:00,N62,2,1
49,2023-06-02 10:55:00,2023-06-02 10:50:00,W42,2,1
50,2023-06-02 11:00:00,2023-06-02 10:39:00,S31,3,1
51,2023-06-02 11:00:00,2023-06-02 10:38:00,S45,2,1
52,2023-06-02 11:05:00,2023-06-02 10:59:00,N36,3,1
53,2023-06-02 11:10:00,2023-06-02 11:08:00,S29,2,1
54,2023-06-02 11:15:00,2023-06-02 11:11:00,N6,3,1
55,2023-06-02 11:20:00,2023-06-02 11:16:00,N5,3,1
56,2023-06-02 11:30:00,2023-06-02 11:59:00,S33,3,1
57,2023-06-02 11:30:00,2023-06-02 11:54:00,R17,2,1
58,2023-06-02 11:30:00,2023-06-02 11:03:00,W44,3,1
59,2023-06-02 11:40:00,2023-06-02 11:27:00,R18,3,1
60,2023-06-02 11:45:00,2023-06-02 12:04:00,W40,2,1
61,2023-06-02 11:50:00,2023-06-02 11:38:00,N10,2,1
62,2023-06-02 11:50:00,2023-06-02 11:12:00,W48,2,1
63,2023-06-02 11:50:00,2023-06-02 11:55:00,N7,3,1
64,2023-06-02 11:55:00,2023-06-02 12:46:00,W71,2,1
65,2023-06-02 12:10:00,2023-06-02 12:21:00,N62,3,1
66,2023-06-02 12:10:00,2023-06-02 11:57:00,N66,3,1
67,2023-06-02 12:15:00,2023-06-02 13:09:00,S41,3,1
68,2023-06-02 12:15:00,2023-06-02 11:45:00,S4,2,1
69,2023-06-02 12:20:00,2023-06-02 11:39:00,N9,2,1
70,2023-06-02 12:20:00,2023-06-02 12:13:00,N60,2,1
71,2023-06-02 12:25:00,2023-06-02 12:26:00,S43,3,1
72,2023-06-02 12:30:00,2023-06-02 12:20:00,S27,3,1
73,2023-06-02 12:30:00,2023-06-02 12:18:00,N30,3,1
