,schedule time,actual time,stand,trailer,direction
0,2023-06-04 00:20:00,2023-06-04 00:21:00,S3,2,0
1,2023-06-04 00:25:00,2023-06-04 00:39:00,N7,2,0
2,2023-06-04 00:25:00,2023-06-04 00:28:00,N5,2,0
3,2023-06-04 00:30:00,2023-06-04 00:34:00,S29,2,0
4,2023-06-04 00:35:00,2023-06-04 01:31:00,N62,3,0
5,2023-06-04 00:45:00,2023-06-04 00:43:00,S25,3,0
6,2023-06-04 00:50:00,2023-06-04 01:01:00,S27,2,0
7,2023-06-04 01:05:00,2023-06-04 01:10:00,R18,2,0
8,2023-06-04 01:20:00,2023-06-04 01:09:00,S1,3,0
9,2023-06-04 01:50:00,2023-06-04 01:54:00,N8,3,0
10,2023-06-04 01:55:00,2023-06-04 01:53:00,N32,3,0
11,2023-06-04 02:00:00,2023-06-04 02:48:00,N64,3,0
12,2023-06-04 02:20:00,2023-06-04 02:41:00,S33,2,0
13,2023-06-04 05:30:00,2023-06-04 08:51:00,S35,3,0
14,2023-06-04 07:00:00,2023-06-04 06:55:00,S45,3,0
15,2023-06-04 07:15:00,2023-06-04 07:15:00,R18,3,0
16,2023-06-04 07:20:00,2023-06-04 07:22:00,N26,3,0
17,2023-06-04 07:20:00,2023-06-04 07:19:00,R13,3,0
18,2023-06-04 07:45:00,2023-06-04 07:39:00,W71,2,0
19,2023-06-04 07:50:00,2023-06-04 09:08:00,W40,3,0
20,2023-06-04 07:55:00,2023-06-04 07:54:00,S27,2,0
21,2023-06-04 07:55:00,2023-06-04 08:30:00,S23,3,0
22,2023-06-04 08:00:00,2023-06-04 07:55:00,N10,2,0
23,2023-06-04 08:00:00,2023-06-04 08:03:00,W42,2,0
24,2023-06-04 08:00:00,2023-06-04 07:59:00,S31,2,0
25,2023-06-04 08:10:00,2023-06-04 08:07:00,N6,3,0
26,2023-06-04 08:10:00,2023-06-04 08:35:00,N36,3,0
27,2023-06-04 08:10:00,2023-06-04 08:19:00,N9,3,0
28,2023-06-04 08:10:00,2023-06-04 08:10:00,R21,2,0
29,2023-06-04 08:15:00,2023-06-04 08:15:00,R15,2,0
30,2023-06-04 08:15:00,2023-06-04 08:23:00,S4,3,0
31,2023-06-04 08:20:00,2023-06-04 08:30:00,S49,3,0
32,2023-06-04 08:30:00,2023-06-04 08:27:00,W65,3,0
